"english","iso3","latLong","bbc-region-code"
"South Sudan","SSD","7.33177904602176, 30.3011670796942","region_af"
"Senegal","SEN","14.4603522614373, -14.471254027143","region_af"
"Grenada","GRD","12.2328151813067, -61.6566832017847","region_am_lac"
"Greenland","GRL","74.8278939201968, -41.346177849758","region_am_na"
"Guam","GUM","13.5310693898755, 144.77193838624","region_oc"
"Heard and McDonald Islands","HMD","-53.2733148923867, 73.5052094915573","region_oc"
"Malta","MLT","36.1039867083524, 14.403755314155","region_eu"
"Isle of Man","IMN","54.4112951635494, -4.53369650806595","region_eu"
"Iran","IRN","32.7417180859121, 54.2785273741542","region_me"
"Iceland","ISL","65.145141575722, -18.5964585707332","region_eu"
"Italy","ITA","42.9757397833098, 12.0728544264474","region_eu"
"Jersey","CIS","49.4111861959282, -2.12743073889381","region_eu"
"Japan","JPN","35.879770, 138.440449","region_as"
"Kenya","KEN","0.554449784981012, 37.8224413062657","region_af"
"Kyrgyzstan","KGZ","41.6525420658633, 74.5414250654205","region_as"
"Cambodia","KHM","12.7982921205413, 104.902783376598","region_as"
"Kiribati","KIR","0.619545239581727, -51.5222918409934","region_oc"
"South Korea","KOR","36.535179217155, 127.822534854217","region_as"
"Macao","MAC","22.2925161775608, 113.550196832522","region_as"
"Saint Martin (French part)","MAF","18.1914416951535, -63.055071498828","region_am_lac"
"Mauritania","MRT","20.3794657510277, -10.3436637707443","region_af"
"Montserrat","MSR","16.8439473830993, -62.1873987605719","region_am_lac"
"American Samoa","ASM","-14.3470388955861, -170.398927294276","region_oc"
"Marshall Islands","MHL","7.16167362609986, 170.099603427959","region_oc"
"Saudi Arabia","SAU","24.2626952751073, 44.5382909003582","region_me"
"Sudan","SDN","16.0868756193364, 29.9392080111433","region_af"
"Singapore","SGP","1.36807596073738, 103.813467657297","region_as"
"Solomon Islands","SLB","-8.96849615874079, 159.63794488304","region_oc"
"Sierra Leone","SLE","8.6198764491493, -11.7950142596048","region_af"
"San Marino","SMR","44.1286766672103, 12.4422225154117","region_eu"
"Romania","ROU","46.0452319201754, 24.9730082937512","region_eu"
"Russia","RUS","55.758732, 37.620899","region_eu"
"Wallis & Futuna Islands","WLF","-13.8271010108621, -177.058942644373","region_oc"
"São Tomé and Príncipe","STP","0.447251312810889, 6.72644180224971","region_af"
"Suriname","SUR","4.1589364878398, -55.9110725681384","region_am_lac"
"Slovakia","SVK","48.8954918438814, 19.4803241489342","region_eu"
"Slovenia","SVN","46.308211655875, 14.8080642945934","region_eu"
"Sweden","SWE","62.9296382047583, 16.7531204892918","region_eu"
"Saint Barthélemy","BLM","18.0184700617375, -62.8326196207493","region_am_lac"
"Eswatini","SWZ","-26.7160739705458, 31.4800234405121","region_af"
"American Virgin Islands","VIR","18.0938210239506, -64.7976526886091","region_am_lac"
"Tokelau","TKL","-9.02939308232795, -171.81629437937","region_oc"
"Turks and Caicos Islands","TCA","21.9129463729256, -71.8733035642149","region_am_lac"
"Trinidad and Tobago","TTO","10.5377956684777, -61.2584533378168","region_am_lac"
"Christmas Island","CXR","-10.5616490781648, 105.662522708329","region_oc"
"Samoa","WSM","-13.8437296555527, -172.161255131736","region_oc"
"United Arab Emirates","ARE","24.0485069435009, 54.3007109743719","region_me"
"Bahrain","BHR","26.2049115564812, 50.5466195816468","region_me"
"Armenia","ARM","40.4778673432156, 44.9323669606989","region_eu"
"French Southern Territories","ATF","-49.2543726002547, 68.9915589810999","region_af"
"Netherlands Antilles","ANT","12.7513260997532, -67.8141727539246","region_am_lac"
"Cayman Islands","CYM","19.5473368924058, -80.877041468695","region_am_lac"
"Burundi","BDI","-3.37998950613504, 29.8750840966596","region_af"
"Guernsey","GGY","49.6742189461714, -2.53048178797475","region_eu"
"Brunei Darussalam","BRN","4.546809059392, 114.727244927452","region_as"
"Bulgaria","BGR","42.9601352438475, 25.217466465102","region_eu"
"Belize","BLZ","17.3172864928343, -88.6939000945268","region_am_lac"
"Bhutan","BTN","27.5793018490324, 90.4044636576171","region_as"
"Cocos Islands","CCK","-12.2554837216823, 96.8672969118481","region_oc"
"Finland","ALA","60.3520366259016, 20.0555844819629","region_eu"
"Saint Helena","SHN","-25.0121240710022, -10.1373223447418","region_af"
"Cook Islands","COK","-19.9360170126749, -158.791151274479","region_oc"
"Maldives","MDV","3.8533111040989, 73.3022611500853","region_as"
"Mexico","MEX","24.0868203822668, -102.526331193993","region_am_lac"
"Comoros","COM","-11.9619921479675, 43.6801517806007","region_af"
"Saint Kitts and Nevis","KNA","17.3804386467821, -62.6985442846665","region_am_lac"
"Hong Kong","HKG","22.5204514533139, 114.131446288948","region_as"
"Pitcairn Islands","PCN","-24.5578912984728, -128.479255238074","region_oc"
"Cape Verde","CPV","16.0378906804508, -23.9672012866016","region_af"
"Netherlands Antilles","CUW","12.2735129644188, -68.9713046494182","region_am_lac"
"Cyprus","CYP","35.0984006364069, 33.0128780405635","region_eu"
"Djibouti","DJI","11.8270908376683, 42.5664458150404","region_af"
"Equatorial Guinea","GNQ","1.71844838366696, 10.3328900797823","region_af"
"Mayotte","MYT","-12.9008967943503, 45.142172226031","region_af"
"Dominican Republic","DOM","19.0145348789768, -70.4965805958428","region_am_lac"
"Faroe Islands","FRO","62.2328198611717, -6.87055423611817","region_eu"
"Micronesia","FSM","7.01360519337847, 155.261205828715","region_oc"
"Gambia","GMB","13.5370398052646, -15.3975858910306","region_af"
"Guatemala","GTM","15.7962861010755, -90.3601836496086","region_am_lac"
"Jamaica","JAM","18.2694623252881, -77.3188053017149","region_am_lac"
"St Vincent and the Grenadines","VCT","13.302121953119, -61.2033537985567","region_am_lac"
"Haiti","HTI","19.0567482606436, -72.6908916238629","region_am_lac"
"Israel","ISR","31.6151513886625, 34.9959932970564","region_me"
"Luxembourg","LUX","49.9563502399017, 6.07176585836107","region_eu"
"Monaco","MCO","43.9320084297292, 7.39897431083394","region_eu"
"Jordan","JOR","31.4161235436622, 36.7707878463181","region_me"
"Kosovo","XKX","42.763884276315, 20.8753673117413","region_eu"
"New Zealand","NZL","-42.0177286949406, 171.477113919434","region_oc"
"Oman","OMN","20.7278706843229, 56.0923071428466","region_me"
"Pakistan","PAK","29.5295853066348, 68.7786390259586","region_as"
"Panama","PAN","8.57105811880079, -80.1212900704747","region_am_lac"
"Northern Marianas Islands","MNP","16.3538760113298, 145.599944875919","region_oc"
"Kuwait","KWT","29.504616996582, 47.5946311237257","region_me"
"Reunion Island","REU","-21.2491253516562, 55.5416868790092","region_af"
"Lebanon","LBN","34.0986792349992, 35.8799136027652","region_me"
"Niue","NIU","-19.1679462456323, -169.869346000895","region_oc"
"Lesotho","LSO","-29.7451206348313, 28.2286406446744","region_af"
"FYR Macedonia","MKD","41.786170861049, 21.6837960328013","region_eu"
"Montenegro","MNE","42.9775795165059, 19.2384983827511","region_eu"
"Palau","PLW","7.24555407210635, 134.347999107844","region_oc"
"Puerto Rico","PRI","18.3384255215946, -66.4676001469724","region_am_lac"
"Qatar","QAT","25.4620654175805, 51.1868295436164","region_me"
"Rwanda","RWA","-2.00616599204506, 29.9190620192161","region_af"
"Tuvalu","TUV","-8.55979393019592, 179.216666666667","region_oc"
"South Georgia and Sandwich Is.","SGS","-54.860032426348, -35.8829539571357","region_am_lac"
"El Salvador","SLV","13.8248625358207, -88.8709144872777","region_am_lac"
"Seychelles","SYC","-6.53288711308294, 52.0628731760591","region_af"
"Togo","TGO","8.58321071340377, 0.962291989571241","region_af"
"Georgia","GEO","42.3601332721523, 43.5076490551928","region_eu"
"Timor-Leste","TLS","-8.88229199019872, 125.851085430714","region_as"
"British Virgin Islands","VGB","18.6260354343411, -64.5028652004869","region_am_lac"
"Antigua and Barbuda","ATG","17.3938372253151, -61.7917323088582","region_am_lac"
"Tonga","TON","-20.1903297907255, -174.86847630202","region_oc"
"Taiwan","TWN","23.8950110939899, 120.949844812012","region_as"
"Western Sahara","ESH","24.8036798436996, -13.1458213532662","region_af"
"French Guiana","GUF","3.94882653276518, -53.2445549521898","region_am_lac"
"Guadeloupe","GLP","16.3117359483936, -61.5296102785394","region_am_lac"
"Martinique","MTQ","14.7508911390534, -61.0176171003129","region_am_lac"
"West Bank","PSE","32.1183424354869, 35.2449534672761","region_me"
"Somalia","SOM","6.10230769124075, 45.8505338259364","region_af"
"Antarctica","ATA","-80.2015047027105, 20.7187105324179","region_an"
